,date,rd_link_cd,signgu_cd,signgu_nm,adstrd_cd,adstrd_nm,dayweek_cd,agrde_cd,tmzon_cd,flpop_co
8739579,201612,25537,11290,己合备,11290640,沥釜3悼,2,50,2,1.480625
8739586,201612,25537,11290,己合备,11290640,沥釜3悼,2,60,2,0.443125
8739593,201612,25538,11290,己合备,11290640,沥釜3悼,1,0,2,5.197
8739607,201612,25538,11290,己合备,11290640,沥釜3悼,1,20,2,0.6925
8739614,201612,25538,11290,己合备,11290640,沥釜3悼,1,30,2,1.105
8739621,201612,25538,11290,己合备,11290640,沥釜3悼,1,40,2,1.437
8739628,201612,25538,11290,己合备,11290640,沥釜3悼,1,50,2,1.1875
8739635,201612,25538,11290,己合备,11290640,沥釜3悼,1,60,2,0.775
8739642,201612,25538,11290,己合备,11290640,沥釜3悼,2,0,2,1.84375
8739663,201612,25538,11290,己合备,11290640,沥釜3悼,2,30,2,0.34125
8739670,201612,25538,11290,己合备,11290640,沥釜3悼,2,40,2,0.61375
8739677,201612,25538,11290,己合备,11290640,沥釜3悼,2,50,2,0.68375
8739684,201612,25538,11290,己合备,11290640,沥釜3悼,2,60,2,0.205
8739691,201612,25539,11290,己合备,11290640,沥釜3悼,1,0,2,3.351
8739698,201612,25539,11290,己合备,11290640,沥釜3悼,1,10,2,0.228
8739712,201612,25539,11290,己合备,11290640,沥釜3悼,1,30,2,0.682
8739719,201612,25539,11290,己合备,11290640,沥釜3悼,1,40,2,1.249
8739726,201612,25539,11290,己合备,11290640,沥釜3悼,1,50,2,0.964
8739733,201612,25539,11290,己合备,11290640,沥釜3悼,1,60,2,0.228
8739740,201612,25539,11290,己合备,11290640,沥釜3悼,2,0,2,0.7
8739761,201612,25539,11290,己合备,11290640,沥釜3悼,2,30,2,0.14
8739768,201612,25539,11290,己合备,11290640,沥釜3悼,2,40,2,0.28
8739775,201612,25539,11290,己合备,11290640,沥釜3悼,2,50,2,0.28
8740769,201612,25550,11290,己合备,11290640,沥釜3悼,1,0,2,20.784
8740783,201612,25550,11290,己合备,11290640,沥釜3悼,1,20,2,2.765
8740790,201612,25550,11290,己合备,11290640,沥釜3悼,1,30,2,4.42
8740797,201612,25550,11290,己合备,11290640,沥釜3悼,1,40,2,5.748
8740804,201612,25550,11290,己合备,11290640,沥釜3悼,1,50,2,4.753
8740811,201612,25550,11290,己合备,11290640,沥釜3悼,1,60,2,3.098
8740818,201612,25550,11290,己合备,11290640,沥釜3悼,2,0,2,7.37
8740839,201612,25550,11290,己合备,11290640,沥釜3悼,2,30,2,1.3625
8740846,201612,25550,11290,己合备,11290640,沥釜3悼,2,40,2,2.4575
8740853,201612,25550,11290,己合备,11290640,沥釜3悼,2,50,2,2.7325
8740860,201612,25550,11290,己合备,11290640,沥釜3悼,2,60,2,0.8175
8740867,201612,25551,11290,己合备,11290640,沥釜3悼,1,0,2,6.704
8740874,201612,25551,11290,己合备,11290640,沥釜3悼,1,10,2,0.456
8740888,201612,25551,11290,己合备,11290640,沥釜3悼,1,30,2,1.363
8740895,201612,25551,11290,己合备,11290640,沥釜3悼,1,40,2,2.498
8740902,201612,25551,11290,己合备,11290640,沥釜3悼,1,50,2,1.931
8740909,201612,25551,11290,己合备,11290640,沥釜3悼,1,60,2,0.456
8740916,201612,25551,11290,己合备,11290640,沥釜3悼,2,0,2,1.4
8740937,201612,25551,11290,己合备,11290640,沥釜3悼,2,30,2,0.28
8740944,201612,25551,11290,己合备,11290640,沥釜3悼,2,40,2,0.56
8740951,201612,25551,11290,己合备,11290640,沥釜3悼,2,50,2,0.56
8743219,201612,25574,11290,己合备,11290640,沥釜3悼,1,0,2,19.074
8743226,201612,25574,11290,己合备,11290640,沥釜3悼,1,10,2,1.079
8743233,201612,25574,11290,己合备,11290640,沥釜3悼,1,20,2,2.213
8743240,201612,25574,11290,己合备,11290640,沥釜3悼,1,30,2,3.291
8743247,201612,25574,11290,己合备,11290640,沥釜3悼,1,40,2,4.713
8743254,201612,25574,11290,己合备,11290640,沥釜3悼,1,50,2,4.202
8743261,201612,25574,11290,己合备,11290640,沥釜3悼,1,60,2,3.576
8743268,201612,25574,11290,己合备,11290640,沥釜3悼,2,0,2,9.2725
8743282,201612,25574,11290,己合备,11290640,沥釜3悼,2,20,2,1.265
8743289,201612,25574,11290,己合备,11290640,沥釜3悼,2,30,2,1.545
8743296,201612,25574,11290,己合备,11290640,沥釜3悼,2,40,2,2.1075
8743303,201612,25574,11290,己合备,11290640,沥釜3悼,2,50,2,2.53
8743310,201612,25574,11290,己合备,11290640,沥釜3悼,2,60,2,1.825
8743905,201612,25582,11290,己合备,11290640,沥釜3悼,1,0,2,4.7315
8743912,201612,25582,11290,己合备,11290640,沥釜3悼,1,10,2,0.304
8743926,201612,25582,11290,己合备,11290640,沥釜3悼,1,30,2,0.945
8743933,201612,25582,11290,己合备,11290640,沥釜3悼,1,40,2,1.7025
8743940,201612,25582,11290,己合备,11290640,沥釜3悼,1,50,2,1.476
8743947,201612,25582,11290,己合备,11290640,沥釜3悼,1,60,2,0.304
8743954,201612,25582,11290,己合备,11290640,沥釜3悼,2,0,2,0.9325
8743975,201612,25582,11290,己合备,11290640,沥釜3悼,2,30,2,0.1875
8743982,201612,25582,11290,己合备,11290640,沥釜3悼,2,40,2,0.3725
8743989,201612,25582,11290,己合备,11290640,沥釜3悼,2,50,2,0.3725
8744787,201612,25592,11290,己合备,11290640,沥釜3悼,1,0,2,19.074
8744794,201612,25592,11290,己合备,11290640,沥釜3悼,1,10,2,1.079
8744801,201612,25592,11290,己合备,11290640,沥釜3悼,1,20,2,2.213
8744808,201612,25592,11290,己合备,11290640,沥釜3悼,1,30,2,3.291
